User ID,Age,Income,Expenses,Savings,Family Members,Marital Status,Secondary Income,Loan EMI,Rent,Monthly Investments,Credit Score,Risk Tolerance,Health Expenses,Education Expenses,Retirement Savings,Lifestyle Score,Debt-to-Income Ratio,Monthly Subscriptions,Financial Literacy Score,Gender
29,35,20320,88382,194463,3,Single,46132,40969,21687,81851,689,Low,6411,1073,619367,49,0.13,1585,0,Female
30,34,172756,120939,82564,5,Married,65064,5081,41540,95447,435,Low,17856,8861,618299,79,0.48,7472,40,Female
31,22,246921,88712,151149,3,Single,55121,48822,23165,45332,708,Medium,7542,30465,999504,34,0.48,1433,10,Male
32,56,199971,128643,193921,4,Single,15205,42697,40993,32961,523,High,11767,8654,990329,13,0.14,2013,5,Male
33,26,275083,117417,110447,1,Married,4628,26718,34194,69810,487,Low,2896,33144,856633,98,0.27,9632,50,Female
34,40,129863,147877,24631,3,Single,52600,20384,46767,29838,686,Medium,12691,35361,510763,91,0.46,8554,63,Female
35,28,61777,138256,188724,2,Single,95526,4545,16382,14332,308,Low,18995,16819,173688,43,0.17,1299,80,Female
36,58,66250,111422,38500,2,Single,38095,5339,33618,63001,479,Low,14316,25596,748021,98,0.38,1252,77,Male
37,37,200418,99300,155969,4,Married,93159,15353,25587,90329,743,Medium,13197,25299,820271,31,0.38,7542,95,Female
38,23,235834,16630,63915,5,Single,58844,26376,6353,36350,745,Low,4333,35707,583292,65,0.19,8524,19,Male
39,44,35216,134474,173449,1,Single,47049,28028,13371,80954,415,Medium,19610,31658,408484,55,0.1,6623,3,Male
40,33,23009,108869,107760,3,Single,21433,19100,14072,48473,544,High,4213,40511,207512,65,0.37,3537,38,Male
41,28,180399,25701,31897,5,Single,75594,4302,9698,40897,582,Low,18675,32752,248216,87,0.35,8872,46,Male
42,45,165281,107285,183352,5,Single,92060,1809,24184,11682,512,Medium,11865,43162,402232,84,0.36,5501,21,Male
43,21,199515,127556,106639,3,Single,12093,28917,11902,21727,750,Low,3517,8182,855052,36,0.16,2314,92,Female
44,39,35029,25021,118849,3,Single,16684,5830,25647,56669,324,Low,12240,13632,313164,99,0.34,9782,41,Female
45,47,230515,74361,116118,3,Married,94234,18381,34140,43775,532,Low,14379,28940,397067,44,0.32,9194,76,Female
46,26,208069,142317,62320,3,Married,60321,48924,40005,56941,815,Medium,3154,34975,366815,25,0.28,7038,78,Female
47,27,134456,20355,73289,2,Married,84520,48637,35221,69439,587,Medium,15906,47426,282850,29,0.41,4173,34,Female
48,54,262471,108841,36941,5,Single,51305,2130,39546,12115,483,Medium,17904,38263,459739,24,0.26,817,24,Male
49,33,53783,27198,150306,5,Married,62025,4412,22004,50937,550,High,19028,20599,529771,87,0.24,1908,2,Female
50,36,54152,76951,80172,2,Single,14907,10884,17505,45132,590,Low,1654,48473,106686,81,0.32,360,50,Female
51,55,78741,142724,8376,5,Single,54057,35564,26814,73498,658,Medium,1041,35284,286711,33,0.48,8252,11,Male
52,59,49092,28740,35783,3,Single,12921,24132,44147,62038,604,Low,15932,44413,785145,71,0.24,4102,13,Female
53,23,168725,13810,177321,1,Married,85938,46775,42031,12025,649,Low,12103,35437,39613,89,0.28,1294,39,Male
54,21,250636,133743,48025,5,Married,46794,47733,48787,95439,638,Low,14135,21874,941939,53,0.21,4616,31,Female
55,25,191541,109855,21447,1,Single,68618,22707,40008,58526,778,Medium,2513,46538,918527,23,0.37,212,49,Male
56,23,274136,36783,21713,1,Single,72610,30478,19577,16907,764,High,10472,37867,12755,82,0.25,9380,67,Female
57,48,181050,131701,133869,2,Married,29330,6745,13043,68832,429,High,5924,28602,405531,86,0.38,8422,28,Female
58,37,107592,88047,9858,4,Married,17623,45655,39130,56108,486,High,8892,33912,138678,60,0.16,6970,30,Male
59,45,63169,19471,187187,5,Married,60277,37970,32414,20863,720,High,9411,3008,298206,31,0.21,8859,95,Male
60,53,74745,120771,64834,2,Married,459,34323,44303,5685,795,Medium,12999,43519,482263,41,0.18,8073,23,Male
61,29,130168,16163,87060,2,Married,65037,11882,11744,6647,840,High,2629,36397,171891,89,0.41,3189,10,Male
62,55,133985,72071,140611,1,Married,52915,11764,46052,30145,534,High,4249,23889,603850,34,0.14,4183,29,Male
63,33,287687,26065,154929,5,Married,56172,24565,44260,40562,577,Medium,17844,22908,609321,58,0.2,5635,18,Male
64,50,207464,132323,108898,2,Single,68337,4443,45270,20767,401,Medium,17673,13817,425148,32,0.3,750,35,Male
65,34,41067,127969,107207,3,Single,28831,13583,8470,98702,758,Low,10327,29237,495183,46,0.14,2274,5,Male
66,27,71033,93456,141436,2,Married,16847,41290,36643,5430,531,Low,1223,16193,370725,12,0.1,1267,1,Female
67,33,65256,29154,195241,3,Married,997,10136,32811,3880,573,High,3445,47669,458064,69,0.38,420,18,Female
68,42,241705,115703,91366,4,Single,22025,21223,9201,65662,664,Low,17837,8049,95340,68,0.35,4526,45,Male
69,59,259455,30229,157150,3,Married,97915,20342,10351,60487,777,Medium,13650,9219,693873,32,0.1,1383,39,Female
70,40,220417,62587,173646,3,Single,64784,9876,20327,83690,767,Low,3046,12278,302443,42,0.12,5590,17,Female
71,35,106803,59713,5869,1,Single,6384,746,32340,39793,573,Low,6911,34704,50308,63,0.19,5832,35,Female
72,37,223814,31101,67624,2,Married,78759,34952,33180,57590,627,Medium,13290,4847,898387,48,0.46,3654,45,Female
73,43,138843,50391,176147,4,Single,48067,24330,18488,71461,483,High,13880,34383,894639,34,0.36,146,55,Male
74,45,48992,82723,98676,2,Married,11198,14052,35374,52470,493,Low,13067,37064,143869,72,0.42,3884,51,Female
75,44,232603,110264,8659,3,Married,34446,42344,10413,67617,571,Low,6479,22489,794786,98,0.4,1353,53,Male
76,48,68803,47921,172442,3,Single,99168,32576,45200,63616,599,High,15264,18504,561455,94,0.49,5173,55,Female
77,34,214549,38460,111888,2,Single,9382,28606,27355,70823,495,Low,4386,26335,19178,68,0.48,3884,19,Female
78,20,164282,101725,63185,4,Single,24120,31001,18831,38671,630,High,7165,26032,488205,40,0.13,8962,0,Female
79,44,46270,68445,122136,4,Married,35465,9210,28821,5335,785,Medium,19852,49558,843829,58,0.11,2123,22,Male
80,26,264929,92208,179823,1,Married,26950,15079,16426,68525,798,Medium,6774,41754,128153,69,0.3,3461,37,Female
81,28,27452,116283,67758,3,Married,95504,27154,41396,93709,699,High,19699,27416,9068,73,0.21,1773,19,Male
82,43,34859,95779,141203,3,Married,68462,28687,43120,71257,696,Medium,15950,33884,628138,47,0.3,1740,3,Female
83,20,52083,13060,137430,1,Married,15735,7148,33085,56230,399,Medium,11807,5783,563949,80,0.14,4541,68,Male
84,27,131462,135806,96150,2,Married,14223,12855,40669,82259,380,Medium,18122,36955,922665,86,0.46,392,5,Female
85,43,167735,23731,193443,3,Married,15362,28516,22925,2728,316,Medium,6225,18963,387799,96,0.41,9865,62,Male
86,30,269737,87830,152318,2,Single,39986,15473,7091,83511,511,Medium,5751,46132,129630,17,0.32,40,89,Male
87,36,162157,125871,22216,4,Married,23409,30285,15842,89763,425,Medium,3218,18514,110225,94,0.29,2970,0,Female
88,27,210167,30719,46209,5,Single,67933,22557,14923,22167,429,Low,15669,15433,433766,22,0.29,7860,62,Male
89,54,89517,59116,47987,1,Single,79987,42502,18827,35929,834,Low,16377,10683,942006,35,0.35,2057,78,Female
90,54,172225,36325,113024,3,Married,5814,14219,29126,75036,513,Low,8915,20326,183089,19,0.32,560,79,Female
91,52,156319,24551,156649,1,Single,22888,44006,13283,73711,428,Medium,12431,20663,289404,65,0.29,9106,86,Female
92,24,246453,103287,47320,4,Single,73058,47125,9854,37397,823,Low,8106,14913,612693,13,0.37,9366,85,Female
93,58,156645,34278,16301,4,Single,22169,39965,42817,62248,761,High,1874,2712,445076,40,0.41,9827,53,Female
94,47,99267,25141,131560,4,Married,59126,34470,10557,47536,356,High,16293,49516,96417,26,0.36,6632,68,Female
95,26,158261,77913,5891,4,Single,85918,38297,9432,72437,573,High,9526,41155,838872,17,0.26,7560,42,Female
96,28,151004,43615,158044,5,Married,81124,39984,17006,76426,638,Low,6987,48142,614439,61,0.27,6873,4,Female
97,27,73687,132058,55457,2,Married,45127,45380,34989,76851,442,Medium,2178,12497,853622,46,0.14,2685,69,Female
98,31,127615,122684,118389,2,Married,15762,40423,45755,80962,722,High,18013,45190,849518,29,0.27,3762,65,Female
99,53,47564,37452,190507,5,Single,15577,38185,42788,31316,633,Low,7519,38271,951069,56,0.41,6371,9,Female
100,52,27697,60391,25932,2,Single,20931,48901,31887,35065,432,Low,7014,32218,991941,83,0.13,2314,35,Male
101,42,100165,130288,9192,4,Married,60302,6324,27632,80775,563,Medium,1080,12881,291444,60,0.17,3330,34,Male
102,43,224994,123535,21128,2,Married,75506,20257,35943,80286,446,Medium,1909,4599,873964,67,0.44,3835,44,Female
103,56,77823,96711,27836,1,Married,39278,8313,33066,23674,735,Low,9641,12764,98328,53,0.33,2492,22,Female
104,54,29615,87850,29837,2,Single,58169,47227,5977,79049,311,Medium,4070,5416,187676,20,0.37,2632,61,Female
105,59,96436,119733,122028,1,Single,85581,26052,25594,26085,354,Medium,6429,46461,159701,21,0.23,6173,46,Female
106,41,211591,12365,121481,3,Single,81455,49417,44802,38086,529,Medium,19363,12731,157762,19,0.3,1615,15,Female
107,46,54782,107662,130176,1,Single,62775,24603,39026,63493,421,Medium,5775,27307,436920,86,0.4,1031,36,Female
108,54,98533,53372,130172,1,Single,93207,21762,49815,53186,532,Medium,16714,1985,26926,63,0.45,1192,41,Female
109,20,260011,54134,27778,4,Single,75885,18508,22681,48248,461,Low,1729,31953,857082,43,0.49,2199,34,Female
110,54,209327,47823,48130,4,Single,49203,16815,15170,26156,799,High,12203,12677,815581,39,0.44,380,39,Male
111,56,92684,81158,21708,4,Married,6058,4974,12397,85353,478,Low,8905,14250,777431,24,0.13,7587,15,Female
112,33,277165,106076,112481,1,Single,69051,20161,44640,70169,661,Low,10205,30674,110696,17,0.24,7056,68,Male
113,22,235356,143021,160304,5,Married,68866,29730,35083,3876,507,Low,18704,2567,354960,49,0.4,3839,10,Female
114,20,236621,59396,193338,4,Single,99978,12723,6732,71444,731,Low,7332,4340,173488,31,0.27,1350,50,Female
115,24,255295,118336,175484,4,Married,55180,15473,7942,55282,755,Low,4264,8153,194156,14,0.27,9645,92,Male
116,45,271435,41912,9782,1,Single,43825,1085,36548,71963,803,Medium,13874,12084,746545,29,0.42,4686,74,Female
117,33,277424,66947,197268,3,Single,83281,22579,14429,45777,453,High,3190,18295,566483,96,0.43,3131,79,Male
118,58,288782,54387,162387,3,Single,74514,22643,34741,48119,637,Medium,6946,17094,348761,58,0.42,1151,88,Female
119,46,53377,26508,15052,2,Married,82475,26670,42268,67359,592,High,11761,34358,135556,61,0.24,9598,49,Female
120,28,126244,55592,24521,3,Single,15264,18869,27517,15641,735,Low,10494,29603,105740,75,0.19,1193,66,Male
121,34,194188,119249,74690,4,Single,26615,15771,34949,76432,695,Low,9981,31933,734398,28,0.24,551,66,Female
122,34,233363,11919,40546,5,Married,32165,41060,33899,58295,465,Low,12491,29326,167206,99,0.38,9242,64,Male
123,45,43382,52595,162044,2,Single,42722,10346,20068,78451,751,Low,8964,32352,144323,23,0.25,6588,11,Female
124,32,266375,43298,109713,5,Single,34880,21462,5165,85340,835,Low,2964,49973,283052,16,0.12,6095,6,Male
125,51,207135,148001,107617,5,Married,84130,39970,17872,19411,700,Low,2344,45340,559120,66,0.42,3379,42,Male
126,58,173466,24456,27030,4,Single,81059,19432,26216,3101,414,Low,3737,34384,556263,89,0.13,9958,45,Female
127,51,254318,119599,176448,1,Married,1701,13174,35206,28536,650,High,11799,28442,397754,19,0.5,5503,95,Female
128,23,151936,96676,94831,1,Married,59430,17183,34269,3588,559,Low,18188,15568,544098,31,0.44,252,21,Male
129,49,143664,93721,82400,1,Married,98294,29697,34264,14709,525,Low,11957,45170,787448,99,0.48,5083,75,Female
130,56,172027,47924,23055,3,Single,55615,5611,17219,85765,785,Low,9021,13251,505822,14,0.43,6790,5,Female
131,42,123533,34240,161565,1,Single,92519,46959,24158,87657,430,High,11144,33520,587343,85,0.14,8370,37,Female
132,58,267997,97381,79861,4,Married,39237,22393,30989,91259,563,High,15129,26507,772065,97,0.27,8448,38,Male
133,34,89590,19228,126184,3,Married,34378,25871,47406,77245,823,Low,5405,39702,398906,33,0.46,9671,59,Male
134,48,264936,31686,121524,1,Single,20736,5263,42788,1417,480,Medium,5798,7985,11615,24,0.14,6675,84,Male
135,55,68924,21920,121826,5,Single,6343,41394,33058,20293,648,High,14672,24906,613856,97,0.22,2601,61,Male
136,32,29726,17432,41775,4,Single,15797,21954,29132,53897,770,Low,19959,35811,756089,97,0.29,9359,91,Male
137,51,211896,120507,187129,4,Married,53857,11996,21830,44649,460,High,5792,25242,455047,35,0.28,7768,95,Male
138,26,60542,140509,90909,2,Single,87411,10805,33050,35540,413,Medium,4713,19770,880669,64,0.48,2642,26,Male
139,41,54753,81725,41253,4,Married,41864,9107,37864,62251,317,Low,9796,40224,872578,27,0.26,6927,48,Male
140,47,253979,131764,56884,5,Married,41123,10467,40194,55427,403,High,12542,21061,561552,52,0.2,8079,14,Male
141,21,104698,69099,81497,4,Single,74864,21024,48677,60172,485,Medium,12988,8882,823418,15,0.28,6831,32,Female
142,25,298104,122557,22705,2,Single,67561,41607,24641,92281,641,High,5416,14816,948274,54,0.26,3039,95,Male
143,47,50791,96760,180748,4,Married,105,18679,35375,35017,761,High,12740,18087,910231,34,0.35,3382,45,Female
144,47,93290,28013,96640,4,Married,94906,12270,18555,20242,442,Low,17687,6787,95823,90,0.5,8939,97,Female
145,39,67014,31446,12101,2,Single,86379,17815,26110,63429,752,Low,17902,46220,560890,25,0.32,7835,70,Female
146,49,155150,115209,67495,4,Married,19476,21556,28235,68285,750,High,7165,45337,679103,64,0.28,2710,12,Male
147,30,70519,112261,140815,3,Single,64147,13887,46462,97544,361,Medium,12070,2337,716755,65,0.34,2492,52,Male
148,47,286186,105739,13951,4,Single,42112,35129,33959,84525,575,Low,17463,46772,217161,38,0.49,95,38,Male
149,44,69052,10557,143086,1,Married,48610,23925,45957,8770,594,High,14595,19335,433530,73,0.35,4439,49,Male
150,58,34389,140878,41180,1,Married,66234,12324,46024,1136,428,High,9294,43339,751094,10,0.15,243,69,Female
151,52,88111,109143,61977,3,Single,93979,723,44508,11602,663,Low,16345,7815,691671,54,0.47,8729,59,Male
152,20,177753,34578,195606,4,Married,44230,34315,28098,10466,366,Low,3450,47506,303214,93,0.34,4371,8,Male
153,46,109524,84779,68209,5,Married,41706,8275,20309,10413,346,High,10147,25832,798406,35,0.16,1835,3,Male
154,32,114913,67500,177980,4,Single,87659,13405,19105,46075,673,Low,14057,8223,638319,94,0.19,3857,93,Male
155,22,114108,82534,113575,1,Married,65032,1365,13672,1157,436,High,6709,16148,18608,59,0.15,7267,91,Male
156,58,274803,20129,55918,2,Single,41920,46427,35328,7452,394,Medium,9785,24767,412691,36,0.48,9869,20,Female
157,25,289637,21596,144291,3,Married,19875,27338,19078,77586,537,Low,15551,4502,362700,44,0.13,5977,11,Male
158,27,89639,75355,143235,2,Single,68833,3853,44647,26225,334,Low,4549,24408,260636,89,0.41,6540,76,Female
159,46,251452,22974,138542,5,Married,52129,4682,42430,40043,595,High,1562,22086,126473,38,0.24,601,49,Male
160,28,154066,122004,152615,4,Married,65744,44159,45583,14478,791,Low,2699,15657,568328,16,0.13,6184,12,Female
161,56,220352,136794,155348,5,Married,19700,5960,41029,94776,557,Medium,9916,34850,896875,71,0.27,7118,51,Male
162,52,148674,80202,125014,2,Married,87327,24727,5405,87333,686,High,16010,3969,388670,80,0.1,3512,90,Male
163,43,25594,84442,172953,4,Married,72769,24073,8560,37140,569,Medium,18726,38107,463904,43,0.43,7638,91,Female
164,34,256907,65598,83950,5,Married,1891,21541,16575,5611,623,Medium,19279,16070,215119,57,0.32,6793,81,Female
165,51,289515,143726,12749,1,Married,58520,19882,16859,83506,346,Medium,7228,22121,386591,14,0.28,8132,79,Female
166,51,67315,43758,29182,1,Married,47594,48232,35612,30166,786,Medium,19666,18763,814595,17,0.43,9265,20,Male
167,43,234636,34204,82450,3,Single,64190,45054,18153,18707,710,High,1374,46131,802493,81,0.31,1635,54,Female
168,31,147251,137309,85543,1,Married,2039,1567,45624,233,424,Low,3322,41813,244557,52,0.34,8463,9,Male
169,58,252520,40552,101487,1,Married,19673,24787,47077,58609,511,Medium,10586,18440,870525,61,0.43,6111,77,Male
170,21,99526,57037,115227,2,Married,42412,23053,32013,97537,668,Medium,10032,39091,430587,83,0.39,8074,91,Female
171,22,263459,44831,157455,1,Married,28436,26755,11690,40684,565,High,15996,22530,477558,10,0.36,3942,28,Female
172,56,167698,53563,83578,1,Married,99921,27799,49442,65567,434,Medium,5723,9493,154588,47,0.38,4064,10,Male
173,36,257330,28361,121258,2,Single,8186,36959,26715,28014,614,Medium,19435,34595,692757,16,0.21,9698,29,Male
174,21,125573,51335,161484,1,Single,63708,9718,5741,91483,599,Medium,15869,20646,618646,90,0.15,6639,39,Female
175,21,157900,84469,18181,1,Married,434,23540,16431,8951,597,Medium,13102,21777,757977,65,0.35,7107,90,Female
176,47,255707,35816,49898,3,Married,10519,25097,12181,68739,578,Low,15013,34384,823577,55,0.19,5590,48,Female
177,42,203736,102479,195702,1,Married,18030,22901,36305,67330,673,Medium,2547,10978,37168,33,0.12,192,2,Male
178,56,168955,36819,8405,1,Married,76891,28522,12731,62831,787,High,13170,14530,716459,44,0.2,507,0,Male
179,51,194131,132330,15862,3,Single,55819,37903,40689,66297,361,Low,3453,23180,292590,82,0.39,1161,31,Male
180,52,194004,18798,190751,2,Married,79864,39519,45142,28936,353,High,10628,25872,774805,51,0.38,7478,38,Male
181,20,284179,59695,33688,1,Single,5258,40977,33714,63702,637,Low,3364,33084,687723,76,0.46,3999,84,Male
182,38,129767,139544,53017,5,Married,72726,11672,12023,15574,674,Low,15874,15090,361666,53,0.37,7724,1,Male
183,21,37241,19415,17939,2,Single,88015,7174,43329,98585,773,Medium,8598,42031,230825,13,0.28,6330,73,Female
184,45,72975,97638,109152,2,Single,86363,18103,43402,4071,411,Medium,8821,42453,282512,86,0.2,7013,30,Male
185,51,174226,28452,44585,1,Single,58277,8061,5910,77631,568,High,5614,36544,742029,33,0.4,6430,17,Male
186,25,76396,149192,121315,3,Married,45238,20398,33588,21009,623,Low,7030,17690,519231,80,0.26,3540,6,Male
187,51,138920,120205,109447,2,Married,10747,32626,42470,28631,384,Low,14741,2061,272556,28,0.43,4567,4,Female
188,23,214999,28170,159014,3,Married,30917,13265,27182,22362,671,Medium,18307,42331,350911,59,0.44,1658,28,Male
189,30,106226,26259,141344,5,Married,30377,33646,34390,30700,374,Low,10642,41326,564893,27,0.24,2135,67,Male
190,36,104719,32099,180206,3,Married,44956,41553,9038,47105,807,Medium,5786,45283,33164,37,0.24,4531,45,Female
191,57,83014,139394,160337,4,Single,98684,45698,33215,31232,527,Medium,14260,9843,536217,38,0.47,5893,55,Male
192,43,59346,69258,184264,3,Single,23557,39040,36565,41775,693,High,7758,44404,410343,82,0.26,3803,2,Male
193,24,90411,21805,164740,2,Single,44335,29472,24829,53711,314,Medium,13005,46058,611487,94,0.38,3833,12,Male
194,53,205550,53147,86560,3,Married,99941,45510,37899,17854,480,Medium,12096,12081,959917,54,0.25,1865,66,Male
195,25,163326,84280,102435,3,Single,78015,17993,48016,68823,807,Low,3258,735,198625,16,0.39,9038,71,Male
196,41,206806,116777,74283,4,Married,89463,6714,27246,46782,637,High,5542,11804,225330,54,0.17,9150,49,Female
197,30,66121,107841,14297,4,Single,33292,29767,23862,22090,562,High,1069,12240,584918,98,0.43,2903,3,Female
198,35,232490,134726,69005,1,Married,19491,37877,27500,27161,377,High,10516,16360,124705,35,0.49,5182,41,Female
199,52,104577,138359,133833,2,Single,57294,18832,21688,16894,528,Medium,12331,36244,862827,79,0.41,9289,98,Male
200,28,269106,86215,194506,1,Married,66629,12749,21282,46300,329,High,6913,14893,95091,58,0.24,5593,75,Male
201,25,155909,122909,137679,4,Single,96544,15888,7519,90666,673,Medium,14465,3131,833227,93,0.32,8064,23,Male
202,35,21466,105365,135654,3,Single,65640,34904,11112,44665,454,Medium,9125,41619,554710,27,0.37,3091,18,Female
203,48,249638,20985,195255,4,Single,18123,16020,5992,39552,484,Medium,8391,3123,542994,93,0.18,9244,99,Male
204,22,108422,22391,91994,5,Married,92472,39734,10647,65288,747,Medium,1367,26435,45743,49,0.21,2753,98,Male
205,39,284037,14861,61305,3,Single,64618,34821,48519,58650,746,High,19267,6799,260961,27,0.42,1729,81,Female
206,55,116907,44364,164045,1,Single,83596,7763,34014,93254,731,High,6308,22164,248391,56,0.48,1991,39,Male
207,38,228434,92399,159189,3,Single,24288,46000,12597,54645,468,Low,11280,14507,632737,10,0.21,4917,33,Female
208,45,238532,52923,127688,5,Married,89947,32851,30633,39356,380,High,6076,35133,311657,42,0.16,3928,88,Female
209,22,278093,148991,12645,4,Single,45091,16025,21854,42184,509,Low,4201,20116,426383,48,0.49,1297,6,Female
210,38,172271,95818,47238,2,Married,78872,26015,8566,50817,558,High,19304,33256,69190,32,0.23,9964,74,Male
211,39,225400,81160,74694,2,Single,59216,15431,46472,34633,848,High,12285,29322,107290,23,0.41,1744,37,Male
212,51,187477,138165,177845,2,Single,77162,19052,49353,48720,585,High,11280,46628,344626,94,0.25,1287,18,Male
213,26,249304,149248,21786,4,Married,58785,37999,8285,66301,353,Medium,17536,27307,519251,53,0.48,7218,98,Male
214,52,35989,43529,45693,2,Married,50997,43179,17029,97694,768,High,13220,32021,196149,46,0.34,1874,44,Male
215,59,291434,11669,101447,5,Single,69037,41658,48152,24640,668,High,14924,46291,368250,80,0.27,7012,19,Male
216,58,141136,127373,162650,4,Married,50693,30992,17846,51857,399,Low,10262,41665,952336,85,0.17,3537,90,Male
217,37,227370,54859,182480,2,Married,82386,45585,18079,5765,746,High,7473,15786,762075,46,0.2,8824,94,Female
218,59,146299,65786,74702,1,Married,35712,42058,13551,80997,491,Medium,4790,24084,403907,37,0.44,7729,88,Male
219,20,181205,30323,89845,4,Single,86214,6572,38052,80872,713,High,7896,8096,722912,16,0.12,7720,1,Female
220,30,263688,16021,20076,4,Single,15905,35662,20100,30761,781,Low,5098,24304,557681,61,0.16,7483,92,Male
221,47,125686,49807,24377,3,Single,1591,36185,8277,37742,392,High,2059,7459,948693,26,0.18,4420,36,Male
222,44,102666,138305,145350,2,Married,60159,16632,24015,1383,552,High,13283,21645,522590,71,0.13,6990,30,Male
223,42,208728,60355,132368,1,Married,13522,7810,6757,63235,338,Low,13530,4772,796288,46,0.37,222,41,Female
224,50,155705,123415,38539,5,Married,81689,12674,37085,15458,845,High,13013,44958,769128,23,0.49,5725,5,Female
225,49,127573,18711,131552,4,Married,3572,42917,26863,2435,657,Low,10633,42371,757005,60,0.16,838,84,Female
226,54,248892,17904,147512,5,Single,61680,7880,31098,28736,308,Low,3266,2693,910214,64,0.42,4883,96,Female
227,26,289152,74033,31245,5,Married,58537,12650,20295,29992,487,Medium,19632,24753,16447,66,0.17,38,8,Male
228,35,178477,96478,158169,5,Single,33061,34883,43555,99754,438,Medium,8706,46164,108487,13,0.49,9986,73,Female
229,45,268141,130035,72092,3,Married,91033,39349,30821,57566,597,Low,9792,40485,116615,95,0.3,770,85,Male
230,21,110909,13093,114454,5,Single,87778,38419,47372,40692,379,Medium,8986,13477,91061,58,0.44,3334,94,Male
231,20,171899,34918,137223,2,Single,66874,1806,26833,23442,555,Medium,1835,11793,310423,90,0.17,2432,52,Female
232,31,80354,134501,157770,2,Married,60542,40068,30992,23700,478,Low,9591,28508,254390,44,0.45,5530,10,Female
233,24,38157,102510,153673,1,Married,61907,24871,13549,82361,556,High,11520,1695,82816,62,0.13,8896,82,Female
234,56,55315,103708,162879,1,Married,16151,42951,27432,91549,517,High,2007,48966,349922,41,0.11,5587,75,Female
235,51,165486,107819,181374,5,Single,92526,48991,44498,27763,566,High,9958,3293,48616,98,0.38,4203,15,Female
236,28,278669,46303,144111,5,Married,80916,47136,25519,95110,616,Medium,1432,18021,728263,19,0.14,1210,12,Female
